NBHD_NAME,NBHD_ID,LENGTH,AREA,Lat,Lon
Baker,"3",0.10176699975,0.00040579107,39.7152210,-104.9962118
Lincoln Park,"41",0.08172538285,0.00034724948,39.7325399,-105.0048546
Auraria,"2",0.05566191079,0.00017568030,39.7458206,-105.0082671
Belcaro,"7",0.07748129968,0.00031691534,39.7050435,-104.9504772
Washington Park,"70",0.09044487571,0.00041087363,39.7012383,-104.9662667
Cherry Creek,"13",0.06392297189,0.00022765962,39.7194003,-104.9492814
Country Club,"22",0.05286512829,0.00017668275,39.7223036,-104.9660045
Clayton,"17",0.05987782925,0.00020982864,39.7674080,-104.9501443
Skyland,"55",0.06057246294,0.00020780323,39.7565100,-104.9502466
City Park West,"15",0.04964594970,0.00014339894,39.7453403,-104.9664739
Capitol Hill,"9",0.05447206716,0.00018406643,39.7336476,-104.9801986
North Capitol Hill,"47",0.04037123649,0.00009595391,39.7435502,-104.9808966
Civic Center,"16",0.04216755398,0.00008269856,39.7353765,-104.9911979
CBD,"10",0.04253397338,0.00011732573,39.7451226,-104.9931607
Union Station,"63",0.04550479876,0.00011941625,39.7534290,-105.0004441
Five Points,"26",0.10312860427,0.00048081812,39.7590762,-104.9833133
Stapleton,"60",0.30170869781,0.00244593527,39.7766389,-104.8791110
Highland,"36",0.07619413721,0.00031384874,39.7632633,-105.0123098
Globeville,"29",0.12892401313,0.00056089224,39.7805470,-104.9868281
West Colfax,"74",0.08087359815,0.00027316998,39.7400543,-105.0385980
West Highland,"75",0.07770091444,0.00030562774,39.7639502,-105.0392391
Southmoor Park,"58",0.10778547317,0.00025327109,39.6404051,-104.9167798
Indian Creek,"38",0.06898694081,0.00013255662,39.6847895,-104.8975144
East Colfax,"24",0.07387400559,0.00029098435,39.7406828,-104.8944583
Rosedale,"53",0.04989773495,0.00015326231,39.6731205,-104.9805230
City Park,"14",0.05994084876,0.00020914826,39.7456235,-104.9501699
Lowry Field,"42",0.13435125558,0.00070165078,39.7194065,-104.8906252
Harvey Park South,"35",0.08655874858,0.00037185839,39.6610315,-105.0398960
Gateway / Green Valley Ranch,"28",0.21627264102,0.00200481577,39.7849235,-104.7708349
Barnum West,"5",0.05655550241,0.00019692598,39.7185422,-105.0464630
Montclair,"46",0.06776279182,0.00027550318,39.7328597,-104.9129523
Platt Park,"51",0.05996888276,0.00022254454,39.6866084,-104.9810558
Westwood,"76",0.08548747724,0.00040710876,39.7040173,-105.0392059
Washington Virginia Vale,"72",0.13145926586,0.00049744729,39.7014862,-104.9151629
Villa Park,"68",0.08582142510,0.00026906825,39.7304733,-105.0391487
Hale,"31",0.06576454329,0.00026480177,39.7329104,-104.9315623
North Park Hill,"48",0.09623308033,0.00040678661,39.7565203,-104.9220114
South Park Hill,"57",0.09618460451,0.00040566444,39.7455975,-104.9220604
Kennedy,"40",0.07697934191,0.00019086113,39.6539242,-104.8635272
Hampden,"32",0.20046618576,0.00076769351,39.6609587,-104.8908087
Speer,"59",0.06130099161,0.00023233957,39.7192446,-104.9802941
Congress Park,"20",0.06761942968,0.00028007225,39.7328512,-104.9503067
Cole,"18",0.04689500512,0.00013941806,39.7671855,-104.9662016
Sunnyside,"62",0.08267941191,0.00038768299,39.7764511,-105.0118943
Ruby Hill,"54",0.08924257961,0.00039484872,39.6899891,-105.0111908
University,"64",0.08292189183,0.00033883127,39.6745057,-104.9664111
Goldsmith,"30",0.11096649131,0.00021029350,39.6737854,-104.9146933
Virginia Village,"69",0.12860470682,0.00052826584,39.6869493,-104.9243867
University Hills,"65",0.11573638562,0.00039457368,39.6641703,-104.9326299
Mar Lee,"43",0.08546197352,0.00040994974,39.6895138,-105.0391327
Barnum,"4",0.05802522262,0.00020989181,39.7183902,-105.0323861
Regis,"52",0.09689336856,0.00027722120,39.7876066,-105.0439797
Sun Valley,"61",0.06200397392,0.00017479094,39.7358384,-105.0210778
Wellshire,"73",0.06879224935,0.00025241657,39.6606416,-104.9495492
University Park,"66",0.07038918268,0.00031609267,39.6759339,-104.9501755
Cory - Merrill,"21",0.06309935658,0.00022818676,39.6904621,-104.9498222
Washington Park West,"71",0.06641192687,0.00023735774,39.7025754,-104.9799043
Whittier,"77",0.04977937979,0.00015328357,39.7563571,-104.9665594
Montbello,"45",0.16079446919,0.00137844606,39.7860212,-104.8372743
Marston,"44",0.25325882900,0.00086127055,39.6274610,-105.0789238
Fort Logan,"27",0.16871067473,0.00072130922,39.6415477,-105.0479828
Bear Valley,"6",0.11121199028,0.00036757193,39.6611324,-105.0655608
College View / South Platte,"19",0.14285309717,0.00039595161,39.6724273,-105.0131746
Hampden South,"33",0.12025365430,0.00079126178,39.6407368,-104.8969350
Northeast Park Hill,"49",0.13203377822,0.00090681502,39.7744537,-104.9233097
Elyria Swansea,"25",0.11204660543,0.00070650608,39.7825226,-104.9575572
Overland,"50",0.08227788141,0.00030534190,39.6814061,-104.9931026
Cheesman Park,"12",0.04788881873,0.00014331968,39.7345802,-104.9664280
Hilltop,"37",0.11224384171,0.00046883871,39.7186885,-104.9243424
Jefferson Park,"39",0.05558957236,0.00013390624,39.7521656,-105.0192200
Valverde,"67",0.07104023942,0.00026120143,39.7171731,-105.0152234
Athmar Park,"1",0.08915552777,0.00042041327,39.7035678,-105.0103981
Windsor,"78",0.12309795238,0.00046496073,39.7033150,-104.8858284
Sloan Lake,"56",0.08522695658,0.00038087825,39.7516335,-105.0398162
Berkeley,"8",0.08615830158,0.00040789033,39.7767113,-105.0393807
Chaffee Park,"11",0.07691247840,0.00021408784,39.7876304,-105.0120555
Harvey Park,"34",0.10536390942,0.00045831788,39.6753104,-105.0410686
